episode,env_steps,return,length,success,collisions,final_dist_m,goal_dist_m,alpha,curriculum_max_dist_m,target_entropy,stuck
153,25492,-46.16,500,0,20,1.043,1.927,0.0723,3.0,-3.364,0
154,25519,120.68,27,1,0,0.293,2.496,0.0717,3.0,-3.365,0
155,25541,126.48,22,1,0,0.185,2.943,0.0709,3.0,-3.365,0
156,25935,-41.9,394,0,30,1.176,1.956,0.0711,3.0,-3.37,1
157,25983,122.36,48,1,0,0.253,2.729,0.0708,3.0,-3.371,0
158,26000,121.65,17,1,0,0.296,2.546,0.0706,3.0,-3.371,0
159,26052,117.93,52,1,0,0.276,2.329,0.0695,3.0,-3.372,0
160,26080,-18.36,28,0,14,1.315,2.419,0.0693,3.0,-3.373,1
161,26088,110.4,8,1,3,0.264,1.944,0.0693,3.0,-3.373,0
162,26105,120.8,17,1,0,0.286,2.451,0.0695,3.0,-3.373,0
163,26117,126.73,12,1,0,0.259,2.992,0.0695,3.0,-3.373,0
164,26136,-33.15,19,0,13,2.476,1.855,0.0696,3.0,-3.373,1
165,26146,6.47,10,0,5,1.011,2.708,0.0695,3.0,-3.374,1
166,26646,-54.28,500,0,11,1.974,1.246,0.07,3.0,-3.381,0
167,27146,-48.15,500,0,0,5.089,2.774,0.0702,3.0,-3.388,0
168,27240,-14.55,94,0,33,0.932,2.947,0.0707,3.0,-3.389,1
169,27251,125.61,11,1,0,0.234,2.85,0.0708,3.0,-3.389,0
170,27267,124.92,16,1,0,0.25,2.822,0.0708,3.0,-3.39,0
171,27271,115.1,4,1,0,0.282,1.812,0.0708,3.0,-3.39,0
172,27280,-11.57,9,0,7,1.543,1.831,0.0707,3.0,-3.39,1
173,27780,-22.55,500,0,0,1.511,1.756,0.07,3.0,-3.397,0
174,27786,-12.74,6,0,5,2.587,2.343,0.0699,3.0,-3.397,1
175,27799,112.69,13,1,4,0.281,2.414,0.0701,3.0,-3.397,0
176,27804,113.63,5,1,0,0.058,1.447,0.0702,3.0,-3.397,0
177,27817,123.81,13,1,1,0.192,2.838,0.0702,3.0,-3.397,0
178,27822,-10.25,5,0,5,1.677,1.677,0.0701,3.0,-3.397,1
179,28042,-26.02,220,0,32,1.391,2.889,0.071,3.0,-3.401,1
180,28049,-3.74,7,0,5,1.312,1.973,0.071,3.0,-3.401,1
181,28060,122.2,11,1,0,0.28,2.554,0.071,3.0,-3.401,0
182,28066,-5.92,6,0,5,2.455,2.893,0.071,3.0,-3.401,1
183,28090,109.07,24,1,4,0.3,2.127,0.0711,3.0,-3.401,0
184,28100,112.43,10,1,2,0.269,1.962,0.0712,3.0,-3.401,0
185,28106,-6.58,6,0,5,1.39,1.762,0.0712,3.0,-3.402,1
186,28118,123.39,12,1,0,0.255,2.654,0.0713,3.0,-3.402,0
187,28136,119.22,18,1,0,0.253,2.265,0.0715,3.0,-3.402,0
188,28148,117.98,12,1,0,0.295,2.153,0.0714,3.0,-3.402,0
189,28648,-34.78,500,0,5,2.083,2.105,0.0705,3.0,-3.409,0
190,28682,115.85,34,1,0,0.224,1.979,0.0702,3.0,-3.41,0
191,28689,118.73,7,1,0,0.297,2.205,0.0701,3.0,-3.41,0
192,28725,125.13,36,1,0,0.227,2.92,0.0701,3.0,-3.41,0
193,28735,5.2,10,0,5,1.331,2.901,0.0702,3.0,-3.41,1
194,28745,125.77,10,1,0,0.223,2.85,0.0704,3.0,-3.411,0
195,28767,-4.43,22,0,10,0.704,2.372,0.0705,3.0,-3.411,1
196,28777,-9.43,10,0,5,2.556,2.662,0.0705,3.0,-3.411,1
197,28787,-12.9,10,0,8,0.763,1.122,0.0706,3.0,-3.411,1
198,28792,-10.25,5,0,5,2.04,2.04,0.0707,3.0,-3.411,1
199,28803,113.53,11,1,2,0.281,2.089,0.0708,3.0,-3.411,0
200,28812,115.93,9,1,0,0.2,1.837,0.0707,3.0,-3.412,0
201,29312,-8.8,500,0,0,0.679,2.299,0.0704,3.0,-3.419,0
202,29316,115.19,4,1,0,0.223,1.762,0.0703,3.0,-3.419,0
203,29692,-20.06,376,0,12,0.673,2.947,0.0705,3.0,-3.424,1
204,29734,97.08,42,1,10,0.287,2.205,0.0701,3.0,-3.425,0
205,30234,-2.81,500,0,0,0.773,2.992,0.0703,3.0,-3.432,0
206,30249,-14.61,15,0,10,2.073,2.687,0.0702,3.0,-3.432,1
207,30258,-8.2,9,0,7,2.181,2.806,0.07,3.0,-3.432,1
208,30283,119.69,25,1,0,0.235,2.329,0.069,3.0,-3.433,0
209,30295,117.47,12,1,0,0.298,2.105,0.0688,3.0,-3.433,0
210,30629,-57.93,334,0,30,3.844,2.721,0.0678,3.0,-3.438,1
211,30640,124.53,11,1,0,0.213,2.721,0.0678,3.0,-3.438,0
212,30652,122.74,12,1,1,0.269,2.802,0.0678,3.0,-3.438,0
213,30658,-7.26,6,0,5,1.675,1.979,0.0679,3.0,-3.438,1
214,30672,-1.31,14,0,6,1.009,2.148,0.068,3.0,-3.438,1
215,30682,122.53,10,1,0,0.265,2.568,0.0681,3.0,-3.438,0
216,30694,125.0,12,1,0,0.29,2.85,0.0681,3.0,-3.438,0
217,30739,111.65,45,1,0,0.253,1.643,0.068,3.0,-3.439,0
218,30746,119.94,7,1,0,0.145,2.174,0.068,3.0,-3.439,0
219,30767,-19.89,21,0,11,1.161,1.477,0.0681,3.0,-3.44,1
220,30775,126.97,8,1,0,0.225,2.962,0.0682,3.0,-3.44,0
221,30803,-7.17,28,0,5,2.0,2.423,0.0682,3.0,-3.44,1
222,30813,-15.34,10,0,9,1.934,2.25,0.0681,3.0,-3.44,1
223,31313,-30.79,500,0,0,3.271,2.692,0.068,3.0,-3.447,0
224,31323,114.46,10,1,0,0.266,1.762,0.0679,3.0,-3.447,0
225,31332,127.2,9,1,0,0.081,2.846,0.0677,3.0,-3.448,0
226,31341,-5.62,9,0,5,1.893,2.376,0.0676,3.0,-3.448,1
227,31349,-8.66,8,0,6,1.457,1.831,0.0677,3.0,-3.448,1
228,31360,2.27,11,0,6,0.923,2.405,0.0676,3.0,-3.448,1
229,31387,122.33,27,1,0,0.295,2.662,0.0674,3.0,-3.448,0
230,31399,123.0,12,1,0,0.243,2.602,0.0671,3.0,-3.449,0
231,31407,116.97,8,1,0,0.259,1.996,0.067,3.0,-3.449,0
232,31802,79.07,395,1,9,0.286,1.967,0.0686,3.0,-3.454,0
233,31846,-4.83,44,0,9,0.693,2.23,0.0682,3.0,-3.455,1
234,31855,126.88,9,1,0,0.259,2.992,0.0682,3.0,-3.455,0
